,state_name_x,name_of_city,description of the city_x
10,,Aizawl ,"In 187172, the disorderly conduct of Khalkom, a Mizo chief, compelled the British to establish an outpost that later became the Aizawl village.[4] The post had been established by Suakpuilala, the Chief of Reiek and it was only 14 kilometres from Sairang from where one could travel by flat bottomed boat. In 1890, officer Dally of the Assam Police and his 400 men arrived at Aizawl to support Colonel Skinner's troops during a British military operation against the Mizo tribals.[citation needed] On Dally's recommendation, Aizawl was selected as the site of a fortified post that Colonel Skinner had been ordered to construct. The troops constructed stockades and buildings at the site.[5] In 1892-95 Aizawl became accessible from Silchar by fair weather road under the supervision of Major Loch.[citation needed]

The Indian Air Force carried out air strikes on the town during the March 1966 Mizo National Front uprising, following which the MNF withdrew to Lunglei.[6] Until 1966, Aizawl was a large village but the regrouping of Mizo villages after the uprising made it become a larger town and then a city. Aizawl has become the centre of road network in Mizoram connecting the north and south, east and west. More than 25% of the Mizoram population reside in Aizawl.The city is perched on a ridge around 1132 meters above sea level. It is known for its impeccably clean habitat, scenic natural beauty and tranquility. If you're looking for spending some time in a town that exudes peace and relaxation, this destination is a must-visit."
11,RAJASTHAN,Ajmer ,"The city was founded by Raja Ajay Pal Chauhan in the 7th Century A.D. and continued to be a major centre of the Chauhan power till 1193 A.D. When Prithviraj Chauhan lost it to Mohammed Gaure. Since then, Ajmer became home to many dynasties. Today, Ajmer is a popular pilgrimage centre for the Hindus as well as Muslims.It is the fifth largest city in the state of Rajasthan. This charming city is surrounded by picturesque Aravalli Hills and lies at a distance of 135 kilometers from Jaipur. It is a major pilgrimage center for Muslims and is blessed with beautiful lakes, magnificent forts, and fascinating museums."
12,UTTAR PRADESH,Akbarpur ,"The Akbarpur city, which has been made the headquarters of the Ambedkar Nagar district, is in a very desolate area in the Nawabi period. Until the 6th century of the sixteenth century, this region was part of a thundering forest. When the emperor Akbar arrived here in 1566 AD, the city came into existence.According to the Ramayana, Akbarpur is where King Dashratha shot Dhanush Shravan Kumar, at the place called Shravan Kshetra. The ashram of the sage Shringi Rishi was situated here. According to the Ramayana, Rama's son Kusha rules Shravasti.Ambedkar Nagar is known for its textile industry, power plant, sugar plant and cement manufacturing plant. Tanda town is well known for its ""Tanda Terrycot"". The major economic activity of the district is agro-based industries, firms small, power looms and farming."
13,MAHARASHTRA,Akola ,"Akola is a municipal corporation and the third largest city in Vidarbha after Nagpur and Amravati and tenth largest city in Maharashtra. is located about 580 kilometres (360 mi) east of the state capital, Mumbai, and 250 kilometres (160 mi) west of the second capital, Nagpur. Akola is the administrative headquarters of the Akola district located in the Amravati division, and is governed by the Akola Municipal Corporation.

Akola is located north-central of Maharashtra state, western India, on the banks of the Morna River. Although it is not considered a common tourist destination, Akola is an important city due to its history, culture, politics, and agriculture. It also has a prominent road and rail junction in the Tapti River valley that functions as a commercial trading center.

Akola is an important educational center with several colleges affiliated with the Sant Gadge Baba Amravati University. The city is developing into a market center. The primary language spoken by the people of Akola is Marathi.Also known as the 'Cotton City of India' due to its high cotton production, Akola is famous for its various shimmering rivers, gorgeous winters, sprawling forts, and intricately carved temples and mosques. After Nagpur and Amravati, Akola is the third largest city in the eastern region of Maharashtra.The Raj Rajeswar temple and the Shiva temple inside the Akola fort are favorite tourist hotspots. The Narnala fort is another place to visit in Akola, Maharashtra. The fort was constructed by Fateh-Ullah-Imad-ul-Malik in 1487."
14,TAMIL NADU,Alandur ,"Alandur is a zone of Chennai corporation, and an urban node in Chennai district in Guindy division in the state of Tamil Nadu, India. It is Surrounded by Guindy in the North and East, Adambakkam in the South, Pazhavanthangal in the South-West and St Thomas Mount in the North-West. As of 2011, Alandur had a population of 164,430. The town agglomeration of Alandur will have an estimated population of 300,000 by 2030. Alandur neighbours the St. Thomas Mount Cantontment, the Officers Training Academy of the Indian army and the nearby towns of Guindy and Adambakkam. M. G. Ramachandran, a former chief minister of Tamil Nadu started his political career by winning his first legislative election from Alandur in 1967.[1] Alandur also holds famous landmarks of Chennai namely Nehru Statue and Kathipara Junction.Tourist Attraction Alandur St Thomas Mount , Chennai
St Thomas Mount National Shrine. St Thomas Garrison Church.Veppa Maram Thinnai. Anjaneyar Temple.Sri Utthara Guruvayoorappan Temple.Madras War Cemetery.rignar Anna Zoological Park. Marina Beach."
15,KERALA,Alappuzha ,"History says Alappuzha had trade relations with ancient Greece and Rome in B.C and in the Middle Ages. Carved out of erstwhile Kottayam and Kollam (Quilon) districts, Alleppey district was formed on 17th of August 1957. The name of the district Alleppey, the anglicized form was changed as 'Alappuzha' as per GO(P) No.The name Alappuzha means ""the land between the sea and network of rivers flowing into it"". It is a fitting name: there are a significant number of canals, backwaters, beaches and lagoons in and around the city."
16,UTTAR PRADESH,Aligarh ,"The recorded history of Aligarh begins with the establishment of the Aligarh Fort in the 16th century. It is a university town, notable as the seat of Aligarh Muslim University, which was founded here as Muhammadan Anglo-Oriental College in 1875, initiating the Aligarh Movement.Aligarh is famous for its brass hardware and sculpture. Today, the city holds thousands of manufacturers, exporters, and suppliers involved in the brass, bronze, iron and aluminum industries.It has many popular attractions, including Aligarh Fort, Teerthdham Mangalaayatan, AMU Jama Masjid, making it well worth a visit. Aligarh is a city in Uttar Pradesh, India. It has many popular attractions, including Aligarh Fort, Teerthdham Mangalaayatan, AMU Jama Masjid, making it well worth a visit."
17,UTTAR PRADESH,Allahabad ,"Prayag is an ancient holy city of India mentioned in the Vedic scriptures and texts. Prayag was renamed Allahabad by the Mughal ruler Akbar around 1575 or even later. Akbar was grandson of the Mughal conqueror Babur.

Although initially named Ilahabad the name later became Allahabad in an anglicized version in Roman script.[1] In 2018 the name of the city was changed back to Prayagraj by the State government ruled by Yogi Adityanath. The city is situated on an inland peninsula, surrounded by the rivers Ganges and Yamuna on three sides, with only one side connected to the mainland Doab region, of which it is a part. This position is of importance in Hindu scriptures for it is situated at the confluence, known as Triveni Sangam, of the holy rivers. As per Rigveda the Sarasvati River (now dried up) was part of the three river confluence in ancient times. It is one of four sites of the Kumbh Mela, an important mass Hindu pilgrimage.From the holy confluence of the rivers Ganga, Yamuna and Saraswati to the globally recognised Kumbh Mela, what makes Allahabad special is how it is the haven of pilgrimage in India. The city which is located in the northern state of Uttar Pradesh is a fabulous experience waiting to be unleashed! Allahabad, also known as Prayagraj, is perched atop the confluence of the Ganges and the Yamuna rivers, is one of the most ancient holy cities in India. Faith and religious sentiments have often been the main purposes to drive people to the city or take an Allahabad trip. However, it's not just the fact that it is a holy city but is also a haven for historians that make it so special. Many milestones and historical incidents have taken place in Allahabad from the Mughal era to the Independence struggle, that add to the attractions of Allahabad."
18,RAJASTHAN,Alwar ,"Alwar is a small district in Rajasthan and is also a nice tourist destination. The city is known for its rich history as it is an older city which dates back to the 1000 AD and that is why the rulers of the city also belonged to the 11th century. The city has many attractions including the haunted Bhangarh Fort and this is one of the major tourist places in Alwar city.

Apart from that the city has many tourist attractions such as the Sariska Tiger Reserve Hanuman temple, Neelkantheshwar temple, and many more. The city is also a great place to enjoy shopping in Alwar and enjoy the various other cuisines of Rajasthan. So apart from watching the ancient Alwar history through the palaces and forts, the city is worth a visit for its flora and fauna too.Alwar is one of the oldest cities in Rajasthan. Paradoxically, the city is also the most recent of the Rajput kingdoms. Its traditions can be traced back to the realms of Viratnagar that flourished here around 1500 BC. Alwar is famous for its majestic fort and its delicious milk cake.Alwar has been one of the oldest of Rajasthani Kingdoms and one of the first Rajput states to align itself with the British Empire. Alwar is most famous for two things - its milk cake also known as 'Alwar-ka-mawa', and for its fort."
19,HARYANA,Ambala ,"Ambala was given the status of a district in 1847, formed by the merging of the jagir estates of hitherto independent chieftains whose territories had lapsed or had been confiscated by the British Indian Government. In its 160 years of existence as a district, Ambala has witnessed many changes in its boundaries.Which is the most popular thing in Ambala?
Badshahi Bagh Gurudwara. Badshahi Bagh Gurudwara lies near the district courts of Ambala city
Bhawani Amba Temple
European Cemetery
Gurudawara Lakhnaur Sahib
Gurudawara Manji Sahib
Gurudawara Panjokhara Sahib
Gurudawara Sis Ganj
Hanuman Temple"
20,MAHARASHTRA,Ambarnath ,"The Shiv Mandir of Ambarnath is a historic 11th-century Hindu temple, still in use, at Ambarnath near Mumbai, in Maharashtra, India. It is also known as the Ambreshwar Shiva Temple, and known locally as Puratana Shivalaya. It is situated on the bank of Vadavan (Waldhuni) river, 2 km away from Ambarnath railway station (East). The temple was built in 1060 AD[1] beautifully carved in stone. It was probably built by Shilahara king Chhittaraja, it may also have been rebuilt by his son Mummuni.[2]
Unusually, the sanctuary or garbhagriha is below ground, reached by some 20 steps down from the mandapa, and is open to the sky as the shikhara tower above stops abruptly at a little above the height of the mandapa, and was apparently never completed. It is in bhumija form, and if completed would have been close in form to the Udayesvara Temple also known as Neelkantheshwara temple in Udaipur, Madhya Pradesh, begun in 1059,[3] and the Gondeshwar Temple at Sinnar.[4] It is clear from what was built that the shikhara would have followed these in having four corner bands of gavaksha-honeycomb sweeping uninterrupted up the full height of the tower, while in between each face has rows of five spirelets on individual podia, reducing in size up the tower.[5]

There's also a possibility that the shikhar here represents of Sky as the name suggests Ambarnath which means the Sky. ???? in sanskrit is sky. So the shikhar here is sky and thus the tower might have not stopped abruptly"
21,TAMIL NADU,Ambattur ,"Ambattur is located in northwestern part of Chennai City, in Ambattur taluk of the Chennai District, surrounded by Avadi, Anna Nagar, Padi, Mogappair, Kallikuppam, Surapet, Korattur, Ayappakkam, and Thiruverkadu. It covers an area of 45 km2 (17 sq mi). The neighbourhood is served by Ambattur railway station of the Chennai Suburban Railway. Ambattur has its origins in a village of the same name which can be located at present as areas opposite to Ambattur telephone exchange. Ambattur was a village with large extents of agricultural farm lands irrigated by the once-sprawling Ambattur Lake. In 2011, the neighbourhood had a population 466,205.Tourist Attraction Ambattur , Chennai
Sri Santhana Srinivasa Perumal Temple.
Ben Foundation. 
Arignar Anna Zoological Park. Marina Beach. 
MGR Memorial. 
Semmozhi Poonga. 
Thiruvanmiyur Beach.
Besant Nagar Beach."
22,CHHATTISGARH,Ambikapur ,"Ambikapur is a city and headquarters of Surguja district in the Indian state of Chhattisgarh. It is one of the oldest cities in the state, in east-central India. Ambikapur is also the divisional headquarters of Surguja Division which consists of the six districts of Surguja, Korea, Manendragarh, Balrampur, Surajpur and Jashpur.

Ambikapur was the capital of the Princely state of Surguja before Indian Independence The name of the city is derived from the Hindu goddess Ambika (Mahamaya) Devi, who is the central figure of worship in the area.[3] The area under Ambikapur Municipal Corporation is 35.360 sq km.[4]

According to Swachh Survekshan 2019, Ambikapur was the second Cleanest cities of India.[5] As of Swachh Survekshan 2020, Ambikapur is the cleanest city of Chhattisgarh as well as the cleanest city in India amongst cities with a population of 1 to 10 lakhs"
23,TAMIL NADU,Ambur ,"Ambur is a town and municipality in newly announced Tirupattur District, Tamil Nadu, India. It is located on the banks of the Palar River between Chennai and Bangalore. Ambur has a sizeable leather industry, and is known for its spicy biryani and for the sweet, makkhenpeda. Ambur was the site of two major military actions in the 18th Century. The first was the 1749 Battle of Ambur that opened the Second Carnatic War between the Arcot State and the Mughal Empire. In 1767, the siege of Ambur took place during the First Anglo-Mysore War, with local troops and a British force successfully resisting an attack by the Kingdom of Mysore and by the Hyderabad State.Ambur is famous for its delicious Biriyani and special sweet named Makkan Peda.
And for leather tanneries and exporting leather goods. India's major leather processing hub Vellore district which includes towns Ambur and Vaniyambadi.
It is fine place to shop leather products with cheap price
Unity across inter religions!
And Malli (Jasmine) flower, which famous around the villages. Flowers from Ambur and Vaniyambadi surrounded villages contributes high in Chennai and Bengaluru markets. "
24,MAHARASHTRA,Amravati ,"The ancient name ofÂ AmravatiÂ isÂ ""Udumbravati"",Â prakrutÂ form of this is ""Umbravati"" and ""Amravati"" is known for many centuries with this name. The mispronunciation form of this isÂ AmravatiÂ and now theÂ AmravatiÂ is known with the same. It is said thatÂ AmravatiÂ is named for its ancientÂ AmbadeviÂ temple. The ancient proof of existence ofÂ AmravatiÂ can get from stone carved inscription on the base of marble statue of GodÂ AdinathÂ (Jain God)Â Rhishabhnath. This shows that, these statues were set up here in 1097.Â GovindÂ MahaÂ PrabhuÂ visitedÂ AmravatiÂ in 13Â thÂ century, at the same timeÂ WarhadÂ was under the rule ofÂ Deogiri'sÂ Hindu King (Yadav). In 14th century, there was famine (drought) inÂ AmravatiÂ & people abandonedÂ AmravatiÂ and left forÂ GujratÂ andÂ Malva. The local people were returned back after several years atÂ Amravati, the result of this was scanty population. In 16Â thÂ century,Â MagerÂ AurangpuraÂ (today's, 'Sabanpura') was presented forÂ JummaÂ MajseedÂ byÂ BadashahÂ Aurangjeb. This reveals that Muslims and Hindus lived together here.It is said that Amravati is named for its ancient Ambadevi temple. The ancient proof of existence of Amravati can get from stone carved inscription on the base of marble statue of God Adinath (Jain God) Rhishabhnath.The 10 Best Places To Visit In Amravati
Wadali Talav.
Chatri Talao.
Ambadevi And Ekvira Devi Mandir.
ISKCON Â Amravati.
Bamboo garden.
Upper Wardha Dam.
MelGhat Tiger Reserve.
Gawilgarh Fort."
25,GUJARAT,Amreli ,"It is believed that during 534 AD Amreli existed was formerly known as Anumanji, Amlik and then Amravati. The city is named in ancient Gujrati as Amarvalli. It is learnt from the inscription that Nagnath temple that ancient name of Amreli city was Amarpalli. It was also called Girvanvalli. Amongst the remains of the ancient town are the memorial stones or paliyas[what language is this?] and foundations discovered in the fork of the Thebi and Vari rivers, and two old temples, Kamnath and Trimbaknath, on the west and east of the river.About 7 km from Amreli in Fattepar Village, place is famous for the seat of Saint BhojalRam, who was GuruÂ This temple, located in the middle of Amreli city, is 203 years old. In the year 1802, this temple ofÂ Bhurakhiya Hanuman temple is one of the greatest temple of lathi"
26,PUNJAB,Amritsar ,"Amritsar (Punjabi pronunciation: [?m????ts??] (listen)), historically also known as R?md?spur and colloquially as Ambarsar, is the second largest city in the Indian state of Punjab, after Ludhiana. It is a major cultural, transportation and economic centre located in the Majha region of Punjab. The city is the administrative headquarters of the Amritsar district.Guru Ram Das, the fourth Sikh guru is credited with founding the holy city of Amritsar in the Sikh tradition.[10][11] Two versions of stories exist regarding the land where Ram Das settled. In one based on a Gazetteer record, the land was purchased with Sikh donations, for 700 rupees from the owners of the village of Tung.Apart from the Golden Temple, Amritsar is known for its lip-smacking street food. Amritsar is the spiritual and cultural centre of the Sikh Religion. Baisakhi festival brings out Amritsar's resplendent face with its finest food, clothes and merry-making."
27,UTTAR PRADESH,Amroha ,"Amroha district is one of the 75 districts of Uttar Pradesh state in northern India.[2] Amroha town is the district headquarters. According to the Government of India, the district is one of the Minority Concentrated Districts on the basis of the 2001 census data on population, socio-economic indicators and basic amenities indicators.[3]

The district is bounded on the north by Bijnor District, on the east and southeast by Moradabad District, on the south by Badaun District, and on the west by the River Ganges, across which lie the Bulandshahr, Hapur, and Meerut districts. State Highways 72 and 73 penetrate the city and act as major routes.Amroha is known for its production of mangoes. Some of the industries in Amroha include cotton & textiles, and small-scale production of cotton cloth, hand-loom weaving, pottery making, sugar milling and secondary ones are carpet manufacturing, wood handicrafts and dholak manufacturing."
28,GUJARAT,Anand ,"The British rule came to an end on 15/8/1947 and India became independent. The new government integrated the royal states into the state of Bombay. Kheda district came into existence on 1/8/1949. Thereafter, some changes were made in the villages of certain talukas and villages were identified for different talukas of the district from 15/10/1950. The district of Kheda consists of Khambhat, Petalad, Borsad, Anand, Nadiad, Matar, Mahemdavad, Kapadvanj, Thasara and Balashinor talukas. State Govt. has formed six new districts from 1/10/97 and Anand has been carved out as a separate district from Kheda.

Anand district, the name that has been inscribed in golden letters in the history of modern India because of White revolution and the largest co-operative sector development, was basically part of the Kheda district. ItÂs only in 1997 when Anand got its existence. So the history of the Anand district is not so old but yes as a part of ÂCharotarÂ (Another name of the Kheda district in vogue) it has very vast and rich legacy. Anand is also called ÂCharotarÂ as itÂs the home of goodly land, a tract of the most fertile and well tilled soil. Even the dialect spoken by the people inhabiting here is called ÂCharotariÂ. The word ÂCharotarÂ is derived from the Sanskrit word ÂCharuÂ meaning beautiful. The land is fertile and Green with vegetation and so it pleases the eye and is called Charotar tract. Though the entire area is prosperous and productive, some parts of the Khambhat Taluka and Tarapur Taluka called ÂBhaalÂ region is having problems of agricultural productivity because of the saline land and sea coast effect. But the wheat of ÂBhaalÂ region is very famous because of its superior quality.Anand is a major city located in the Anand District of Gujarat. It rests at a distance of 101 kilometres from Gandhinagar, the state capital. Anand is often known as the Milk Capital of India due to the establishment of the AMUL manufacturing plant and the milk revolution that took place in the 20th century. 

The epicentre of the white revolution in the country back in the 60s, Anand is a place known for its semi-rural setup and the Swami Narayan Mandir which is the crown jewel of the city. An emerging city, Anand still has traces of its rural past which can be seen when one is travelling to this wonderful city.

Anand is the home to both Gujaratis and non-Gujaratis. Gujarati is the main language but other languages are also well-spoken. Their local cuisine is Gujrati and comprises of Dhokla, Khakda, Fafda and more. Anand is also a major tourist hub and its attractions include AMUL Museum and the Chocolate Factory.

Anand forms a part of Charotar that symbolises fertile soil and agricultural productivity. It is derived from a Sanskrit word Charu that means pure and graceful. Charotar mainly comprises of Anand and Kheda Districts in Gujarat. This region also serves as a major educational hub and boasts of prominent institutions including the Institute of Rural Management Anand and Vallabh Vidhyanagar."
29,ANDHRA PRADESH,Anantapur ,"Anantapur district (officially: Anantapuramu district[4]) is one of the eight districts in the Rayalaseema region of the Indian state of Andhra Pradesh. The district headquarters is located at Anantapur city. It is one of the driest places in South India.[5] As of 2011 census of India, it is the largest district in the state by area and with a population of 4,083,315. Later in the year 2022, as part of re-organisation of districts, Sri Satyasai district was carved out from Ananthapuramu and so the original district was shrinker to nearly half in its area and population.The top sightseeing places in Anantapur are Ahobilam Temple, ISKCON Temple, Anantapur, Veera Bhadra Temple, Anantapur Clock Tower, Bugga Ramalingeswara Swami Temple, Penukonda FortThe Gooty Fort, also known as Ravadurg, is a ruined fort located on a hill in the Gooty town of Anantapur Andhra Pradesh, India. The word Gooty (locally pronounced ""Gutti"") is derived from the town's original name, Gowthampuri. It is one of the centrally protected Monuments of National Importance.Top Attractions in Anantapur District
ISKCON Anantapur Temple. Religious Sites
Veerabhadra Swamy Temple. 
Prasanthi Nilayam.
Lepakshi Bull.
Penukonda Fort. Historic Sites.
Ravadurg Gooty Fort. 
Chaitanya Jyoti Museum. Veerabhadra Swamy Temple Complex. Historic Walking Areas."
30,JAMMU & KASHMIR,Anantnag ,"The boundless beauty and majesty of Kashmir Valley is so alluring and captivating that since ages, this land has been exposed to sudden metamorphosis of its religious and political status. As an integral part of this valley, Anantnag was also witness to change of rulers and regimes several times in its history. The history of this place is also quite intriguing because of its existence dating back to prehistoric era. It finds its mention in the ancient epics and chronicles that exhibit the significance of this land in Indian history. Right from its name to its historical sites, Anantnag has lot in store for every avid historian.Anantnag is a popular tourist destination prominent for its natural springs, picturesque gardens, temples and snow-capped mountains. It is located 53 km away from Srinagar in the state of Jammu and Kashmir. The nearest airport to Anantnag is Srinagar Airport."
